,tf_idf,word
36736,3344.7110643773476,the
40135,3329.297537680634,weather
23691,3102.3376382556744,mention
19592,2340.3372842117287,it
37423,2264.9277768709057,to
18941,2143.2234562734466,in
19522,2026.887568729344,is
3172,2026.05851596602,and
36946,1936.03455004891,this
22013,1812.2088412280898,link
14403,1606.017684421372,for
26327,1373.7373099025663,of
31266,1359.8016911281895,rt
26913,1321.3299458242614,out
19629,1260.377843801544,its
18081,1251.5818293332732,hot
34968,1240.2625568909457,storm
26966,1236.7322665559143,outside
10417,1213.2440094493018,day
26572,1200.6411462287142,on
35552,1196.993243797029,sunny
24983,1132.4860780866634,my
41924,1085.0107839817517,you
35576,1049.3048154664164,sunshine
37451,1015.9869943111365,today
4737,1008.5827218761096,be
3832,1001.6918021844822,at
33763,972.5335370318593,so
8656,914.6063248788196,cold
17486,902.47689868024,here
21932,853.1625126190537,like
41034,832.9872302923033,with
36690,832.2500737879317,that
29758,826.240404985829,rainy
10657,799.5901710880321,degrees
18295,793.697007737826,humidity
15959,762.3385481329794,good
6868,761.3046866622103,but
29689,738.8301068432996,rain
23505,729.6588339238873,me
40093,718.0960242342286,we
39907,702.633905791436,was
40883,700.6424733401254,wind
38911,693.2705018832,up
20303,688.1831808430973,just
13715,687.7835735144996,feels
25924,683.86094527637,not
2859,660.5519275200661,all
33700,650.8748688647962,snow
26044,646.4290253818243,now
25582,640.8122924393141,nice
14715,634.0273852677875,freezing
3538,624.717666901622,are
17135,622.4059039707823,have
22478,616.0419053103749,love
3678,602.4027947205844,as
40477,597.6678223680834,what
15522,593.0384205039248,get
3039,582.3451779665954,am
146,578.6073791488438,0f
37150,571.0765147085451,thunderstorm
7160,564.7460457907479,can
32391,537.1055321543334,severe
28359,533.742015541067,pm
14851,530.8735322122217,from
22276,529.5624985534107,lol
4821,520.6240821599858,beautiful
37569,514.3605690497216,too
23369,511.8770444383099,may
39856,508.09966566796487,warm
33904,507.3553164952212,some
16287,505.3308361971588,great
24549,504.30913802323755,morning
838,499.7505468083809,29
36823,490.59889559808073,there
15846,474.8046731129011,go
25738,469.45132810752494,no
27740,456.5940313085362,perfect
2187,450.63976805620877,about
40916,446.9222439978413,windy
40841,434.87765630642053,will
37264,430.34001059170936,time
18178,429.32473105671403,how
40566,426.218327015762,when
37154,415.6911633825957,thunderstorms
15908,414.90206987493633,going
41953,411.52933996721674,your
10441,409.14396118964993,days
18594,392.60175600750244,if
16087,382.08314974597937,got
17062,367.9176053181344,has
30841,367.34087512624166,right
35411,364.0560898334737,summer
4888,360.0468628024999,been
11449,359.15367446405253,do
17991,357.0627576893148,hope
24522,352.8948728238866,more
37550,352.75158532492634,tonight
39880,347.8280023105674,warning
30030,342.8345168533138,really
40264,342.8275580049699,week
4238,342.4753057254059,back
6943,342.10353259678635,by
26330,337.5422239375513,off
26768,329.6989697233258,or
14425,329.5182922401291,forecast
40268,328.76148047716987,weekend
945,325.4586829118096,30
10245,318.80481260167056,damn
1419,318.75117286802316,53
8042,317.89988989898,chilly
11543,317.06835505254486,don
34859,316.81463553547803,still
40738,316.74001370426373,why
37532,308.2960523161263,tomorrow
4282,298.0394241678148,bad
26581,296.1619463831582,one
25320,296.02059323961436,need
41256,295.00277769630395,work
25640,288.8114237712251,night
35500,288.19885238372706,sun
8777,287.50103489518085,come
20914,286.8454520902784,know
39954,284.6012460585044,watch
38889,283.49181048394115,until
26902,282.44830169992105,our
12692,276.9656097352331,enjoy
5132,275.6474202337915,better
155,275.57554791818126,10
16720,275.3030000073482,had
25476,275.0081187218533,new
0,273.5228437254805,00
32170,268.17065896614173,see
17607,267.69810168980234,high
40041,267.51682743395406,way
39819,267.21333984100744,want
18787,262.46181106361,im
34100,262.06088245642565,south
36923,259.4184543418514,think
26997,257.7677735340058,over
15569,256.00387397820856,getting
22611,252.16584536494616,lt
17377,252.11336809669407,hell
40579,251.81713157645447,where
25872,251.2607184943575,north
257,250.5210652583125,11
12697,250.02572063326744,enjoying
11694,247.9134008244371,down
9668,247.75620765305283,crazy
29959,247.3002734780625,re
17087,246.2880432077646,hate
3145,246.2128662788229,an
37657,244.17489985318622,tornado
22357,243.45543989154984,looks
15949,242.9484366999382,gonna
17863,242.29848181543713,home
16946,241.54346017004625,happy
9482,240.4903841207763,county
14921,240.03694522333006,fuck
26375,237.84176953125524,oh
41329,236.18760143832876,would
3283,236.0499807287103,another
22145,233.89790351199338,ll
36872,232.22871396051627,they
23019,231.76122923145266,man
1957,231.1024122473831,90
8496,230.84157676512874,cloudy
22937,230.48471891730327,make
21379,229.89971924861857,last
40337,225.16056217928548,well
36801,224.8741541620122,then
13902,223.8350658504496,finally
1820,221.8631352015608,80
24719,220.64563435549726,mph
26602,218.78287782691612,only
2557,217.34645755742466,again
22550,214.98821338678738,loving
3754,213.68100663701688,ass
9448,213.28638815610046,could
2539,213.02876460073327,after
18145,210.06925181439038,house
13038,209.29749903071954,even
32708,209.003490677277,shit
1464,208.15896247691774,56
34440,207.0829429349079,spring
39018,206.86891576467283,us
13698,204.7011876419737,feel
9255,203.71839721218637,cool
24794,203.30340996031384,much
2544,201.70164600838262,afternoon
299,199.58083326079463,12
25540,198.123494072398,next
36652,197.30632481626503,than
41005,196.79289720455083,wish
37121,195.79014649728362,thunder
1676,194.46294819565387,70
35521,192.1004366505465,sunday
3024,191.84070023694917,always
22076,190.78324017156027,little
32848,189.74234114272843,should
29983,188.94666166770762,ready
36093,187.6562528440011,take
22351,187.00390267883725,looking
27705,185.2419557280213,people
17269,183.93460293040434,heat
8815,182.3868203171295,coming
31697,182.12118312412235,saturday
34989,180.318022081349,storms
29722,178.54545599615474,raining
36667,177.8473532679982,thanks
7580,176.69817245705067,cdt
22945,175.9781254287458,makes
28285,175.8103923140756,please
4090,175.5036623561322,awesome
39338,175.0917016067205,very
14770,174.54852891000724,friday
8273,173.81972903738466,city
37080,173.6966307357509,through
